wave flux err
16304.0 1.1428041680637103e-17 6.936964024573259e-19
16350.0 1.0832376694832021e-17 6.953855481819853e-19
16396.0 1.0362882302258373e-17 6.953138792216716e-19
16442.0 1.2015070970373933e-17 6.9889796686074715e-19
16488.0 1.0758620328892967e-17 6.981218701518842e-19
16534.0 1.1132881197408539e-17 7.124335369592663e-19
16580.0 1.0381772553302351e-17 7.358550995798781e-19
16626.0 1.2707944050079886e-17 9.192567684548301e-19
16672.0 9.433631702754618e-18 8.675841579208315e-19
16718.0 1.1265217270270573e-17 1.1350752826116417e-18
16764.0 1.0864033738939392e-17 1.168117216904062e-18
16810.0 1.1306898121635054e-17 1.4655853825905095e-18
16856.0 8.919094344644468e-18 1.888579596333949e-18
16902.0 1.4677430183615797e-17 2.4615953253820444e-18
16948.0 1.5026635461817404e-17 3.0739543258993137e-18
16994.0 1.8472120631616927e-17 3.7940762571214366e-18
17040.0 1.9159432617737256e-17 4.728022169494354e-18
17086.0 2.757248868915151e-17 6.022872863967779e-18
17132.0 2.7705619441180433e-17 7.58199719831175e-18
17178.0 1.7795354114714595e-17 1.0322701951888965e-17
17224.0 3.519859001477027e-18 1.85995872298432e-17
17270.0 7.962706836914833e-17 8.581728157052086e-17
