# wavelength F_lambda
5.078259500000000116e+03 nan
5.084097499999999854e+03 nan
5.089935500000000502e+03 nan
5.095773500000000240e+03 nan
5.101611499999999978e+03 nan
5.107449499999999716e+03 nan
5.113287499999999454e+03 nan
5.119125500000000102e+03 nan
5.124963499999999840e+03 nan
5.130801500000000487e+03 nan
5.136639500000000226e+03 4.077713180546969399e-16
5.142477499999999964e+03 4.069074911499816052e-16
5.148315499999999702e+03 4.194411294982792495e-16
5.154153499999999440e+03 3.964488007927898586e-16
5.159991500000000087e+03 3.584636191171063819e-16
5.165829499999999825e+03 3.510673063550520595e-16
5.171667500000000473e+03 4.042126873385031868e-16
5.177505500000000211e+03 3.524526137933976649e-16
5.183343499999999949e+03 3.750224144891934211e-16
5.189181499999999687e+03 3.518492712527960397e-16
5.195019500000000335e+03 3.431413724111867260e-16
5.200857500000000073e+03 4.002330389843011971e-16
5.206695499999999811e+03 3.774188267034503550e-16
5.212533500000000458e+03 3.852176024256109232e-16
5.218371500000000196e+03 3.795320301878664905e-16
5.224209499999999935e+03 4.560324583778556449e-16
5.230047499999999673e+03 4.253704481530021125e-16
5.235885500000000320e+03 3.218836252810581779e-16
5.241723500000000058e+03 4.348076880073518299e-16
5.247561499999999796e+03 3.296985024486059945e-16
5.253399500000000444e+03 3.665807452293297013e-16
5.259237500000000182e+03 4.456320316569762347e-16
5.265075499999999920e+03 3.857917497521510303e-16
5.270913499999999658e+03 3.994248814104497709e-16
5.276751500000000306e+03 3.650311986463091825e-16
5.282589500000000044e+03 3.361863183161295769e-16
5.288427499999999782e+03 3.303439118525675030e-16
5.294265500000000429e+03 4.341155099664908765e-16
5.300103500000000167e+03 4.027695664674437048e-16
5.305941499999999905e+03 4.118640855403784026e-16
5.311779499999999643e+03 3.577471908901754535e-16
5.317617500000000291e+03 4.020767657309424501e-16
5.323455500000000029e+03 4.232597282572931063e-16
5.329293499999999767e+03 3.917731498501030950e-16
5.335131500000000415e+03 4.200924747502196551e-16
5.340969500000000153e+03 4.147276160583670212e-16
5.346807499999999891e+03 4.234611510383378925e-16
5.352645499999999629e+03 4.209683156890793909e-16
5.358483500000000276e+03 4.100808966945142316e-16
5.364321500000000015e+03 4.066593902652330289e-16
5.370159500000000662e+03 3.968133462854731737e-16
5.375997500000000400e+03 4.129513063484027030e-16
5.381835500000000138e+03 4.329449617169028422e-16
5.387673499999999876e+03 3.580884010182984953e-16
5.393511499999999614e+03 4.183526163319934691e-16
5.399349500000000262e+03 4.056481437486826354e-16
5.405187500000000000e+03 3.744161162344277251e-16
5.411025500000000648e+03 4.429958041124420603e-16
5.416863500000000386e+03 4.053017479264441832e-16
5.422701500000000124e+03 3.812338187556553310e-16
5.428539499999999862e+03 3.976975349884768462e-16
5.434377499999999600e+03 4.181400312716069206e-16
5.440215500000000247e+03 4.543019038295476083e-16
5.446053499999999985e+03 3.839443358790361784e-16
5.451891500000000633e+03 4.335380772325851671e-16
5.457729500000000371e+03 4.686267316413203500e-16
5.463567500000000109e+03 3.847086994028985402e-16
5.469405499999999847e+03 3.761489579285822615e-16
5.475243499999999585e+03 4.320672111987033308e-16
5.481081500000000233e+03 4.299408249494451983e-16
5.486919499999999971e+03 3.668845478346683496e-16
5.492757500000000618e+03 4.401459713217117938e-16
5.498595500000000357e+03 4.218949810146869125e-16
5.504433500000000095e+03 3.970839227150124403e-16
5.510271499999999833e+03 3.998353832287504418e-16
5.516109499999999571e+03 4.081519991037986639e-16
5.521947500000000218e+03 4.401382994197180590e-16
5.527785499999999956e+03 3.611149728368783724e-16
5.533623500000000604e+03 4.087947973720962685e-16
5.539461500000000342e+03 3.973647901106273758e-16
5.545299500000000080e+03 3.734143959514381218e-16
5.551137499999999818e+03 3.938540191214071984e-16
5.556975499999999556e+03 3.945635897398708884e-16
5.562813500000000204e+03 4.089686253403182118e-16
5.568651499999999942e+03 3.914434485591626419e-16
5.574489500000000589e+03 4.094200082148404135e-16
5.580327500000000327e+03 3.797811715734652321e-16
5.586165500000000065e+03 4.369894272229579977e-16
5.592003499999999804e+03 3.986544075513363309e-16
5.597841499999999542e+03 4.208956656305758043e-16
5.603679500000000189e+03 3.811148334576709384e-16
5.609517499999999927e+03 4.079192102698372921e-16
5.615355500000000575e+03 3.895959455964529485e-16
5.621193500000000313e+03 3.964417931550663600e-16
5.627031500000000051e+03 4.137538696933831881e-16
5.632869499999999789e+03 4.329025925285921356e-16
5.638707499999999527e+03 4.094284203784698415e-16
5.644545500000000175e+03 3.841510056107141301e-16
5.650383499999999913e+03 4.159549826667516611e-16
5.656221500000000560e+03 4.115863271204266766e-16
5.662059500000000298e+03 3.861488208307967398e-16
5.667897500000000036e+03 3.746074166610075844e-16
5.673735499999999774e+03 3.820963360083644160e-16
5.679573500000000422e+03 3.574369143609174125e-16
5.685411500000000160e+03 4.273675276894533103e-16
5.691249499999999898e+03 3.892493157928280270e-16
5.697087499999999636e+03 4.288642943896295212e-16
5.702925500000000284e+03 3.797163439838731024e-16
5.708763500000000022e+03 3.871935470993430571e-16
5.714601499999999760e+03 4.122889660465386507e-16
5.720439500000000407e+03 3.810364044379136605e-16
5.726277500000000146e+03 3.672266029381266156e-16
5.732115499999999884e+03 3.541084973625298679e-16
5.737953499999999622e+03 3.352411309716942053e-16
5.743791500000000269e+03 4.036805369905203829e-16
5.749629500000000007e+03 3.922299807961610922e-16
5.755467499999999745e+03 3.822438177785099831e-16
5.761305500000000393e+03 3.447736114702836097e-16
5.767143500000000131e+03 4.046131706570641415e-16
5.772981499999999869e+03 3.136526420659449617e-16
5.778819499999999607e+03 3.639928366366682647e-16
5.784657500000000255e+03 3.882741683570090066e-16
5.790495499999999993e+03 3.435660334549505931e-16
5.796333499999999731e+03 3.653331493838349337e-16
5.802171500000000378e+03 3.486962604268896719e-16
5.808009500000000116e+03 3.574525044859404802e-16
5.813847499999999854e+03 3.608720484213623323e-16
5.819685499999999593e+03 4.119407970740623922e-16
5.825523500000000240e+03 3.807904955882724412e-16
5.831361499999999978e+03 4.004187491318436689e-16
5.837199499999999716e+03 3.905449168489692013e-16
5.843037500000000364e+03 3.770685604113396315e-16
5.848875500000000102e+03 3.335520855243782629e-16
5.854713499999999840e+03 3.776361590736175749e-16
5.860551499999999578e+03 3.534902525115841808e-16
5.866389500000000226e+03 3.752463111945676387e-16
5.872227499999999964e+03 3.074591790690309996e-16
5.878065499999999702e+03 3.610436197330209568e-16
5.883903500000000349e+03 3.778876524069474386e-16
5.889741500000000087e+03 3.368392402872988084e-16
5.895579499999999825e+03 3.215413171047362184e-16
5.901417499999999563e+03 3.131473541088232470e-16
5.907255500000000211e+03 3.522275422221820282e-16
5.913093499999999949e+03 3.496825868393926154e-16
5.918931499999999687e+03 3.867035625793310592e-16
5.924769500000000335e+03 3.621201209244597676e-16
5.930607500000000073e+03 3.527716310231334283e-16
5.936445499999999811e+03 3.445577595143641424e-16
5.942283499999999549e+03 3.329508205026071624e-16
5.948121500000000196e+03 3.458533511609276714e-16
5.953959499999999935e+03 3.358936028657462013e-16
5.959797499999999673e+03 3.219022119089570705e-16
5.965635500000000320e+03 3.408362966778994137e-16
5.971473500000000058e+03 3.636076417894994453e-16
5.977311499999999796e+03 3.917694104505633409e-16
5.983149500000000444e+03 3.627419400845170283e-16
5.988987500000000182e+03 3.410454335798284281e-16
5.994825499999999920e+03 3.635317942951384681e-16
6.000663500000000568e+03 3.728279321087823937e-16
6.006501500000000306e+03 3.799537509628390073e-16
6.012339500000000044e+03 4.145788376041043822e-16
6.018177499999999782e+03 3.336570934971240429e-16
6.024015500000000429e+03 3.683866833127430897e-16
6.029853500000000167e+03 3.549205270251085556e-16
6.035691499999999905e+03 3.571687939166603893e-16
6.041529500000000553e+03 3.433259916320833808e-16
6.047367500000000291e+03 3.516538317166384463e-16
6.053205500000000029e+03 3.528184529795400784e-16
6.059043499999999767e+03 3.345801094394640226e-16
6.064881500000000415e+03 3.470749746651877388e-16
6.070719500000000153e+03 3.679934162055120574e-16
6.076557499999999891e+03 3.453411045034718213e-16
6.082395500000000538e+03 3.633809566788482818e-16
6.088233500000000276e+03 3.158399084027721611e-16
6.094071500000000015e+03 3.753485421020945080e-16
6.099909499999999753e+03 3.594576518023087910e-16
6.105747500000000400e+03 3.783396110216983998e-16
6.111585500000000138e+03 3.862395158071317909e-16
6.117423499999999876e+03 3.801663905286622668e-16
6.123261500000000524e+03 3.769135570212990330e-16
6.129099500000000262e+03 3.198613380160931082e-16
6.134937500000000000e+03 3.394188269793905704e-16
6.140775499999999738e+03 3.361369363458359352e-16
6.146613500000000386e+03 3.668897569340536603e-16
6.152451500000000124e+03 3.289543327352821625e-16
6.158289499999999862e+03 3.818681696428465925e-16
6.164127500000000509e+03 3.217133878830519100e-16
6.169965500000000247e+03 3.344755860898729407e-16
6.175803499999999985e+03 3.431926079051919306e-16
6.181641499999999724e+03 3.830917607592269090e-16
6.187479500000000371e+03 3.600698052725824915e-16
6.193317500000000109e+03 3.374441425828581632e-16
6.199155499999999847e+03 3.463963044972619949e-16
6.204993500000000495e+03 3.194093338561222224e-16
6.210831500000000233e+03 3.475101034366059067e-16
6.216669499999999971e+03 3.305632459664167798e-16
6.222507499999999709e+03 3.074700031292663512e-16
6.228345500000000357e+03 3.458284800040895717e-16
6.234183500000000095e+03 3.552575639247058920e-16
6.240021499999999833e+03 3.488312304983889248e-16
6.245859500000000480e+03 3.112825964966227459e-16
6.251697500000000218e+03 3.538865369737906289e-16
6.257535499999999956e+03 3.165659967137786386e-16
6.263373499999999694e+03 3.452738777779538380e-16
6.269211500000000342e+03 3.555803547009346826e-16
6.275049500000000080e+03 2.898353353337502798e-16
6.280887499999999818e+03 3.223557652493510922e-16
6.286725500000000466e+03 3.210243202448044923e-16
6.292563500000000204e+03 2.794130743151933753e-16
6.298401499999999942e+03 3.308672132361603615e-16
6.304239499999999680e+03 3.261732766943464002e-16
6.310077500000000327e+03 2.905187335044558184e-16
6.315915500000000065e+03 3.312820180535123525e-16
6.321753499999999804e+03 3.279597946901269521e-16
6.327591500000000451e+03 3.483838851067538775e-16
6.333429500000000189e+03 3.325645102610413712e-16
6.339267499999999927e+03 3.328145291497232177e-16
6.345105499999999665e+03 3.092570809261647129e-16
6.350943500000000313e+03 3.228756932532128421e-16
6.356781500000000051e+03 3.620981831570942031e-16
6.362619499999999789e+03 3.362769991254165495e-16
6.368457500000000437e+03 3.228196019601112487e-16
6.374295500000000175e+03 3.279185271096798880e-16
6.380133499999999913e+03 3.180761082588845796e-16
6.385971499999999651e+03 3.503495703129435783e-16
6.391809500000000298e+03 3.150712144541483259e-16
6.397647500000000036e+03 3.164636677477248553e-16
6.403485499999999774e+03 3.237874752447559709e-16
6.409323500000000422e+03 3.164502049147051614e-16
6.415161500000000160e+03 3.333110212451570844e-16
6.420999499999999898e+03 3.636227866902753716e-16
6.426837499999999636e+03 3.064753172283100006e-16
6.432675500000000284e+03 3.236279026029664424e-16
6.438513500000000022e+03 3.285381128980730717e-16
6.444351499999999760e+03 3.297195168629462050e-16
6.450189500000000407e+03 3.288654549177234220e-16
6.456027500000000146e+03 3.193729529640779088e-16
6.461865499999999884e+03 2.986721338614802850e-16
6.467703499999999622e+03 3.112738734402887418e-16
6.473541500000000269e+03 3.295173580687048254e-16
6.479379500000000007e+03 3.493261714048565488e-16
6.485217499999999745e+03 2.840988863412934181e-16
6.491055500000000393e+03 3.018386741250254428e-16
6.496893500000000131e+03 2.991563969926524624e-16
6.502731499999999869e+03 3.084760551402916699e-16
6.508569499999999607e+03 2.857177725782298500e-16
6.514407500000000255e+03 3.193832610877021531e-16
6.520245499999999993e+03 3.237657098169507105e-16
6.526083499999999731e+03 3.094797026117718342e-16
6.531921500000000378e+03 3.034436749576505302e-16
6.537759500000000116e+03 3.071139391390599918e-16
6.543597499999999854e+03 3.187274721028358641e-16
6.549435499999999593e+03 2.891299447175822607e-16
6.555273500000000240e+03 2.907637529456658149e-16
6.561111499999999978e+03 2.914591283134377348e-16
6.566949499999999716e+03 3.182264388486976382e-16
6.572787500000000364e+03 3.158604960395244936e-16
6.578625500000000102e+03 2.849148273093932070e-16
6.584463499999999840e+03 2.678762967579414751e-16
6.590301499999999578e+03 2.845306074968609250e-16
6.596139500000000226e+03 2.773875857670926810e-16
6.601977499999999964e+03 3.181308878517651002e-16
6.607815499999999702e+03 2.928869607803848093e-16
6.613653500000000349e+03 3.124638538061663042e-16
6.619491500000000087e+03 2.806019123909441852e-16
6.625329499999999825e+03 2.645310503853707691e-16
6.631167499999999563e+03 2.933338301588828740e-16
6.637005500000000211e+03 2.579011510510856656e-16
6.642843499999999949e+03 2.945135312611933273e-16
6.648681499999999687e+03 2.663207544270046877e-16
6.654519500000000335e+03 3.076666922161286320e-16
6.660357500000000073e+03 2.808113398838931611e-16
6.666195499999999811e+03 2.724804526368497257e-16
6.672033499999999549e+03 2.707977315124740373e-16
6.677871500000000196e+03 2.876384699010198032e-16
6.683709499999999935e+03 2.960971726762494093e-16
6.689547500000000582e+03 2.768737412930734003e-16
6.695385500000000320e+03 2.992799835965823378e-16
6.701223500000000058e+03 3.206294352380305432e-16
6.707061499999999796e+03 2.679020128039106923e-16
6.712899500000000444e+03 2.559824814833219492e-16
6.718737500000000182e+03 2.549521804671699196e-16
6.724575499999999920e+03 2.704868604676912319e-16
6.730413500000000568e+03 2.849866327678586938e-16
6.736251500000000306e+03 2.552171851991784523e-16
6.742089500000000044e+03 2.861366468038507254e-16
6.747927499999999782e+03 2.939461799606370945e-16
6.753765500000000429e+03 2.695614369988762318e-16
6.759603500000000167e+03 2.720865489292713819e-16
6.765441499999999905e+03 2.559554137080139722e-16
6.771279500000000553e+03 2.556657550321108752e-16
6.777117500000000291e+03 2.873407454201363875e-16
6.782955500000000029e+03 2.486405962084909028e-16
6.788793499999999767e+03 2.772462993249417411e-16
6.794631500000000415e+03 2.708732030849695657e-16
6.800469500000000153e+03 2.478035941301829810e-16
6.806307499999999891e+03 2.557062754240176156e-16
6.812145500000000538e+03 2.562352098447700446e-16
6.817983500000000276e+03 2.604509713557843192e-16
6.823821500000000015e+03 2.470446156820375269e-16
6.829659499999999753e+03 2.675721243420374859e-16
6.835497500000000400e+03 2.644710993529707490e-16
6.841335500000000138e+03 2.847247804365633135e-16
6.847173499999999876e+03 2.518195449915811786e-16
6.853011500000000524e+03 2.508508301780315315e-16
6.858849500000000262e+03 2.403875859370828781e-16
6.864687500000000000e+03 2.294554620702690215e-16
6.870525499999999738e+03 1.919794733244734509e-16
6.876363500000000386e+03 2.322585842834966806e-16
6.882201500000000124e+03 2.026819024413634754e-16
6.888039499999999862e+03 2.135627592366445054e-16
6.893877500000000509e+03 2.254012306677310171e-16
6.899715500000000247e+03 2.340319104800174529e-16
6.905553499999999985e+03 2.636142981931190002e-16
6.911391499999999724e+03 2.191442887771094901e-16
6.917229500000000371e+03 2.242785321021164427e-16
6.923067500000000109e+03 2.262882858386269726e-16
6.928905499999999847e+03 2.299694183506225748e-16
6.934743500000000495e+03 1.951139695935750448e-16
6.940581500000000233e+03 2.421236984307203840e-16
6.946419499999999971e+03 2.364360847927490993e-16
6.952257499999999709e+03 2.299234099926841771e-16
6.958095500000000357e+03 2.281774379749328304e-16
6.963933500000000095e+03 2.456682968504670839e-16
6.969771499999999833e+03 2.133459252750973678e-16
6.975609500000000480e+03 2.244284184780037369e-16
6.981447500000000218e+03 2.327747819494270648e-16
6.987285499999999956e+03 2.448645452012546568e-16
6.993123499999999694e+03 2.646040438670782114e-16
6.998961500000000342e+03 2.136922375316677796e-16
7.004799500000000080e+03 2.520349531151361037e-16
7.010637499999999818e+03 2.330673354352297917e-16
7.016475500000000466e+03 2.230594900628048778e-16
7.022313500000000204e+03 2.398589317260828434e-16
7.028151499999999942e+03 2.182716549776433049e-16
7.033989499999999680e+03 2.116881311711673160e-16
7.039827500000000327e+03 2.485127019253349719e-16
7.045665500000000065e+03 1.718301969273466774e-16
7.051503499999999804e+03 2.513981273577854326e-16
7.057341500000000451e+03 2.085704725825243355e-16
7.063179500000000189e+03 2.333679839055170267e-16
7.069017499999999927e+03 2.189907198820813216e-16
7.074855499999999665e+03 2.347132928770212988e-16
7.080693500000000313e+03 2.098718485612124793e-16
7.086531500000000051e+03 2.395059778646886268e-16
7.092369499999999789e+03 2.053112424498611846e-16
7.098207500000000437e+03 2.243989827297299465e-16
7.104045500000000175e+03 2.168878844591234084e-16
7.109883499999999913e+03 2.152228362197275433e-16
7.115721499999999651e+03 2.241281856058720821e-16
7.121559500000000298e+03 2.358225835287565461e-16
7.127397500000000036e+03 2.176987268431754774e-16
7.133235499999999774e+03 1.701143648911702486e-16
7.139073500000000422e+03 1.996422157847824168e-16
7.144911500000000160e+03 1.928273958520075643e-16
7.150749499999999898e+03 1.975354692233193077e-16
7.156587499999999636e+03 2.076976233033890969e-16
7.162425500000000284e+03 2.204452842905711497e-16
7.168263500000000022e+03 1.885268588918071916e-16
7.174101499999999760e+03 2.047922982281006208e-16
7.179939500000000407e+03 1.774056433294643679e-16
7.185777500000000146e+03 1.747755560115541830e-16
